style,group
Fruit / Vegetable Beer,Other
American Double / Imperial IPA,IPA
American Blonde Ale,Ale
American Pale Lager,Lager
American White IPA,IPA
German Pilsener,Pilsner
Berliner Weissbier,Other
Belgian Pale Ale,Ale
Kölsch,Other
American Pale Wheat Ale,Ale
Radler,Other
Bock,Other
Witbier,Other
Keller Bier / Zwickel Bier,Other
American Pale Ale (APA),Ale
English Pale Ale,Ale
Munich Helles Lager,Lager
English India Pale Ale (IPA),IPA
Extra Special / Strong Bitter (ESB),Other
Cream Ale,Ale
Shandy,Other
American Double / Imperial Stout,Stout
Russian Imperial Stout,Stout
Foreign / Export Stout,Stout
American IPA,IPA
American Porter,Porter
American Amber / Red Ale,Ale
Hefeweizen,Other
Saison / Farmhouse Ale,Ale
American Black Ale,Ale
American Pilsner,Pilsner
Herbed / Spiced Beer,Other
Märzen / Oktoberfest,Other
Vienna Lager,Lager
Cider,Other
Pumpkin Ale,Ale
American India Pale Lager,Lager
Czech Pilsener,Pilsner
Other,Other
Light Lager,Lager
American Stout,Stout
American Amber / Red Lager,Lager
Rye Beer,Other
Milk / Sweet Stout,Stout
American Wild Ale,Ale
English Brown Ale,Ale
California Common / Steam Beer,Other
Gose,Other
