state,city,abv,ibu,name,style,brew_name,latitude,longitude
CT,Bloomfield,0.051,11,Watermelon Ale,Fruit / Vegetable Beer,Thomas Hooker Brewing Company,41.826488,-72.7300945
CT,Bloomfield,0.07,NA,Misty Mountain IPA,American IPA,Back East Brewing Company,41.826488,-72.7300945
CT,Bloomfield,0.086,NA,Palate Mallet,American Double / Imperial IPA,Back East Brewing Company,41.826488,-72.7300945
CT,Bloomfield,0.06,NA,Back East Porter,American Porter,Back East Brewing Company,41.826488,-72.7300945
CT,Bloomfield,0.049,NA,Back East Golden Ale,American Blonde Ale,Back East Brewing Company,41.826488,-72.7300945
CT,Bloomfield,0.05,NA,Back East Ale,American Amber / Red Ale,Back East Brewing Company,41.826488,-72.7300945
CT,Pawcatuck,0.038,NA,Chester's Beer (2005),American Pale Lager,Cottrell Brewing,41.3773218,-71.8336802
CT,Stamford,0.07,40,Pursuit,American IPA,Half Full Brewery,41.0534302,-73.5387341
CT,Stamford,0.052,18,Half Full Bright Ale,American Blonde Ale,Half Full Brewery,41.0534302,-73.5387341
CT,Stratford,0.05,NA,No Limits Hefeweizen,Hefeweizen,Two Roads Brewing Company,41.1845415,-73.1331651
CT,Stratford,0.06,NA,Honeyspot Road White IPA,American White IPA,Two Roads Brewing Company,41.1845415,-73.1331651
CT,Stratford,0.072,NA,Road 2 Ruin Double IPA,American Double / Imperial IPA,Two Roads Brewing Company,41.1845415,-73.1331651
CT,Stratford,0.048,NA,Workers Comp Saison,Saison / Farmhouse Ale,Two Roads Brewing Company,41.1845415,-73.1331651
CT,Stratford,0.05,NA,Ol' Factory Pils,German Pilsener,Two Roads Brewing Company,41.1845415,-73.1331651
CT,Wolcott,0.068,NA,Black Hop IPA,American Black Ale,Shebeen Brewing Company,41.6023196,-72.9867718
CT,Woodbridge,0.034,6,Weiss Trash Culture,Berliner Weissbier,New England Brewing Company,41.352597,-73.0084385
CT,Woodbridge,0.062,NA,Sea Hag IPA,American IPA,New England Brewing Company,41.352597,-73.0084385
CT,Woodbridge,0.05,NA,Elm City Pilsner,American Pilsner,New England Brewing Company,41.352597,-73.0084385
CT,Woodbridge,0.05,NA,Atlantic Amber Ale (2004),American Amber / Red Ale,New England Brewing Company,41.352597,-73.0084385
CT,Woodbridge,0.09,NA,668 Neighbor of the Beast12 oz.,Belgian Pale Ale,New England Brewing Company,41.352597,-73.0084385
CT,Woodbridge,0.088,85,Gandhi-Bot Double IPA (12 oz.),American Double / Imperial IPA,New England Brewing Company,41.352597,-73.0084385
CT,Woodbridge,0.09,NA,668 Neighbor of the Beast (16 oz.) (2010),Belgian Pale Ale,New England Brewing Company,41.352597,-73.0084385
